Model,Gamma,Lamb,s0h,H,M,k,Sb,Added,CV2D,Strain
Pow,0,1.4,0,0,19,12.416053772,0.3,1.1362888055,0.0336679204,Str2
Pow,0,1.4,0,0,19,12.416053772,0.4071428571,1.0900524147,0.0353682443,Str2
Pow,0,1.4,0,0,19,12.416053772,0.5142857143,1.0494583282,0.0368314516,Str2
Pow,0,1.4,0,0,19,12.416053772,0.6214285714,1.0133791471,0.0380996801,Str2
Pow,0,1.4,0,0,19,12.416053772,0.7285714286,0.9810093547,0.0392048658,Str2
Pow,0,1.4,0,0,19,12.416053772,0.8357142857,0.9517439714,0.0401722894,Str2
Pow,0,1.4,0,0,19,12.416053772,0.9428571429,0.9251133913,0.0410224268,Str2
Pow,0,1.4,0,0,19,12.416053772,1.05,0.9007443604,0.0417720906,Str2
Pow,0,1.4,0,0,19,12.416053772,1.1571428571,0.8783348042,0.0424352133,Str2
Pow,0,1.4,0,0,19,12.416053772,1.2642857143,0.8576367054,0.0430234217,Str2
Pow,0,1.4,0,0,19,12.416053772,1.3714285714,0.838443986,0.0435464751,Str2
Pow,0,1.4,0,0,19,12.416053772,1.4785714286,0.8205836698,0.0440126077,Str2
Pow,0,1.4,0,0,19,12.416053772,1.5857142857,0.8039092801,0.0444288002,Str2
Pow,0,1.4,0,0,19,12.416053772,1.6928571429,0.788295811,0.0448009969,Str2
Pow,0,1.4,0,0,19,12.416053772,1.8,0.7736358348,0.0451342816,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,0.3,1.1967950776,0.0370771918,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,0.4071428571,1.1284224257,0.0394417762,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,0.5142857143,1.0715140532,0.0409749892,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,0.6214285714,1.0243203331,0.0418167604,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,0.7285714286,0.9851066768,0.0421408195,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,0.8357142857,0.9523491395,0.0421046002,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,0.9428571429,0.9247872924,0.041831934,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,1.05,0.901410085,0.04141287,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,1.1571428571,0.8814179817,0.0409097882,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,1.2642857143,0.8641817473,0.040364476,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,1.3714285714,0.8492058063,0.0398041762,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,1.4785714286,0.8360982851,0.0392461722,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,1.5857142857,0.824547485,0.0387010626,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,1.6928571429,0.8143037638,0.0381750218,Str2
Deg,0.9010913347,1,0,0,36,38.0974311829,1.8,0.8051657016,0.0376713331,Str2
Comm,0,1,0.5,0.5,40,44.5814247131,0.3,1.1155095414,0.0194588876,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,0.4071428571,1.0860210824,0.0201019017,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,0.5142857143,1.0613433385,0.0206116339,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,0.6214285714,1.0402344518,0.0210225872,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,0.7285714286,1.0218827846,0.0213579585,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,0.8357142857,1.0057236317,0.0216341615,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,0.9428571429,0.9913466292,0.0218632136,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,1.05,0.9784437513,0.0220541365,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,1.1571428571,0.9667778572,0.0222138384,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,1.2642857143,0.9561625931,0.0223476955,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,1.3714285714,0.9464489929,0.0224599504,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,1.4785714286,0.9375162366,0.0225539916,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,1.5857142857,0.9292650967,0.0226325551,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,1.6928571429,0.9216131797,0.0226978711,Str1
Comm,0,1,0.5,0.5,40,44.5814247131,1.8,0.914491403,0.0227517736,Str1
Pow,0,1.2,0,0,40,25.9346694946,0.3,1.114508776,0.0197099712,Str1
Pow,0,1.2,0,0,40,25.9346694946,0.4071428571,1.088138048,0.0201959907,Str1
Pow,0,1.2,0,0,40,25.9346694946,0.5142857143,1.0652307338,0.0205886352,Str1
Pow,0,1.2,0,0,40,25.9346694946,0.6214285714,1.044972061,0.0209114421,Str1
Pow,0,1.2,0,0,40,25.9346694946,0.7285714286,1.0268198443,0.0211800668,Str1
Pow,0,1.2,0,0,40,25.9346694946,0.8357142857,1.0103891258,0.0214055695,Str1
Pow,0,1.2,0,0,40,25.9346694946,0.9428571429,0.9953942092,0.0215960846,Str1
Pow,0,1.2,0,0,40,25.9346694946,1.05,0.9816160737,0.0217577707,Str1
Pow,0,1.2,0,0,40,25.9346694946,1.1571428571,0.9688825641,0.0218953962,Str1
Pow,0,1.2,0,0,40,25.9346694946,1.2642857143,0.9570556329,0.0220127195,Str1
Pow,0,1.2,0,0,40,25.9346694946,1.3714285714,0.9460227491,0.0221127478,Str1
Pow,0,1.2,0,0,40,25.9346694946,1.4785714286,0.9356909058,0.0221979177,Str1
Pow,0,1.2,0,0,40,25.9346694946,1.5857142857,0.9259823191,0.0222702256,Str1
Pow,0,1.2,0,0,40,25.9346694946,1.6928571429,0.9168312646,0.0223313231,Str1
Pow,0,1.2,0,0,40,25.9346694946,1.8,0.9081817044,0.0223825885,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,0.3,1.1189998189,0.0218596997,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,0.4071428571,1.0859430881,0.0222008619,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,0.5142857143,1.059708861,0.0223340122,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,0.6214285714,1.0384503363,0.0223389886,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,0.7285714286,1.0209191852,0.022266024,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,0.8357142857,1.0062427023,0.022146671,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,0.9428571429,0.9937944677,0.022000762,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,1.05,0.9831147147,0.021840773,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,1.1571428571,0.973859362,0.0216745427,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,1.2642857143,0.9657664163,0.021506968,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,1.3714285714,0.9586332739,0.0213410681,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,1.4785714286,0.9523010547,0.0211786569,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,1.5857142857,0.9466435796,0.0210207723,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,1.6928571429,0.9415594817,0.0208679527,Str1
Deg,0.3639022698,1,0,0,54,44.0238685608,1.8,0.9369664676,0.0207204155,Str1
