Model,Gamma,Lamb,s0h,H,M,k,Sb,Added,CV2D,Strain
Pow,0,2,0,0,14,5.8990707397,1.05,1.0351363483,0.0399743641,Str7
Pow,0,2,0,0,14,5.8990707397,1.1571428571,0.984434584,0.0418818849,Str7
Pow,0,2,0,0,14,5.8990707397,1.2642857143,0.9374898758,0.0436750162,Str7
Pow,0,2,0,0,14,5.8990707397,1.3714285714,0.8939977234,0.0453524882,Str7
Pow,0,2,0,0,14,5.8990707397,1.4785714286,0.8536719545,0.0469153326,Str7
Pow,0,2,0,0,14,5.8990707397,1.5857142857,0.8162460443,0.0483663251,Str7
Pow,0,2,0,0,14,5.8990707397,1.6928571429,0.7814735419,0.0497095018,Str7
Pow,0,2,0,0,14,5.8990707397,1.8,0.7491278402,0.0509497537,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,0.3,1.613345221,0.0236973613,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,0.4071428571,1.5103327492,0.0267389341,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,0.5142857143,1.411757977,0.0299187553,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,0.6214285714,1.3194733722,0.0329887057,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,0.7285714286,1.2349914108,0.0356843192,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,0.8357142857,1.1592042373,0.037804624,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,0.9428571429,1.0923162432,0.0392592336,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,1.05,1.0339633555,0.0400656657,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,1.1571428571,0.9834154135,0.0403141926,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,1.2642857143,0.9397699717,0.0401265731,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,1.3714285714,0.902094104,0.0396249833,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,1.4785714286,0.8695093784,0.0389150121,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,1.5857142857,0.8412327236,0.0380797403,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,1.6928571429,0.8165889244,0.037180334,Str7
Deg,2.0101268236,1,0,0,54,72.7809867859,1.8,0.7950073791,0.0362595211,Str7
Comm,0,1,1.3,2,23,30.6109695435,0.3,1.4241251142,0.0140764613,Str6
Comm,0,1,1.3,2,23,30.6109695435,0.4071428571,1.3287026597,0.0160069907,Str6
Comm,0,1,1.3,2,23,30.6109695435,0.5142857143,1.2403643933,0.0180766442,Str6
Comm,0,1,1.3,2,23,30.6109695435,0.6214285714,1.1599272798,0.0202204693,Str6
Comm,0,1,1.3,2,23,30.6109695435,0.7285714286,1.0877063485,0.0223684133,Str6
Comm,0,1,1.3,2,23,30.6109695435,0.8357142857,1.0235923469,0.0244551783,Str6
Comm,0,1,1.3,2,23,30.6109695435,0.9428571429,0.9671619403,0.0264278038,Str6
Comm,0,1,1.3,2,23,30.6109695435,1.05,0.9177927069,0.0282494294,Str6
Comm,0,1,1.3,2,23,30.6109695435,1.1571428571,0.8747631811,0.0298993819,Str6
Comm,0,1,1.3,2,23,30.6109695435,1.2642857143,0.8373286278,0.0313707798,Str6
Comm,0,1,1.3,2,23,30.6109695435,1.3714285714,0.8047716535,0.032667049,Str6
Comm,0,1,1.3,2,23,30.6109695435,1.4785714286,0.7764315675,0.0337984119,Str6
Comm,0,1,1.3,2,23,30.6109695435,1.5857142857,0.7517180554,0.0347789313,Str6
Comm,0,1,1.3,2,23,30.6109695435,1.6928571429,0.7301144565,0.0356243059,Str6
Comm,0,1,1.3,2,23,30.6109695435,1.8,0.7111748372,0.0363503794,Str6
Pow,0,1.8,0,0,23,12.2203598022,0.3,1.3416436613,0.0181597399,Str6
Pow,0,1.8,0,0,23,12.2203598022,0.4071428571,1.2658657285,0.0197767142,Str6
Pow,0,1.8,0,0,23,12.2203598022,0.5142857143,1.1968322539,0.0213241027,Str6
Pow,0,1.8,0,0,23,12.2203598022,0.6214285714,1.1338555518,0.0227902404,Str6
