,v0,vf,Added,gr,div_t,avg_time,ratio,score
0,1.6578543730000002,3.8476757530000003,2.18982138,0.009851338000000001,126,99.0,1.2412685540000001,0.993790788
1,1.599523447,4.4149484160000005,2.815424969,0.005875469,252,774.0,1.4806182069999998,0.946841535
2,1.7577120469999998,3.0098242930000003,1.2521122470000001,0.004376653,180,378.0,0.7877974870000001,0.910708691
3,1.9638083880000001,4.599720157,2.6359117690000002,0.007708046999999999,162,549.0,1.248703648,0.981366223
4,2.045397281,4.571731432,2.52633415,0.006544611,180,720.0,1.178030017,0.987428414
5,2.256881967,4.096267467,1.8393855,0.006086192,144,882.0,0.87641167,0.981366911
6,1.77609607,4.006373311,2.230277241,0.006619216999999999,180,270.0,1.191459124,0.951184549
7,2.017612787,5.966505197,3.94889241,0.011070324,144,72.0,1.59412669,0.9676203170000001
8,2.217539184,4.647219646,2.429680461,0.005004258,216,252.0,1.080919733,0.968115246
9,2.669443509,4.317224117,1.6477806080000001,0.006586562,108,414.0,0.711348687,0.989423789
10,2.013447418,3.9429600760000003,1.9295126580000002,0.007863839000000001,126,801.0,0.9908436709999999,0.991743752
11,2.1483483469999998,3.687716323,1.539367975,0.0063219769999999995,126,171.0,0.796569078,0.984433681
12,2.060131878,3.82298904,1.762857162,0.003577876,252,360.0,0.901624634,0.961318439
13,2.55977865,4.490948245,1.931169595,0.005739569,144,558.0,0.8264978690000001,0.9688228879999999
14,2.706995175,3.8733121739999996,1.166316999,0.005920681,90,675.0,0.532861305,0.9339557159999999
15,1.4133743069999998,3.445169592,2.031795285,0.009097179,144,90.0,1.309993798,0.937700558
16,1.8447203319999999,3.1635404489999996,1.318820117,0.006310931999999999,126,225.0,0.795177445,0.9647791109999999
17,1.889485499,3.660642995,1.7711574959999998,0.0059893509999999995,162,369.0,0.970274883,0.975906919
18,2.108230252,3.8171478469999998,1.708917595,0.006946169,126,927.0,0.875217282,0.924596247
19,1.6236188880000002,4.208337132,2.584718243,0.007749786999999999,180,216.0,1.3949616809999998,0.95385643
20,2.1067565740000003,4.047799943,1.941043368,0.00764083,126,369.0,0.962744603,0.993364472
21,2.408121225,3.968964166,1.5608429419999998,0.005846346,126,495.0,0.7366396540000001,0.923901943
22,2.0403264219999997,4.234180903,2.193854482,0.006611946,162,639.0,1.0711351820000001,0.988601112
23,2.246347252,4.294362748,2.0480154969999997,0.0066161580000000005,144,792.0,0.952726724,0.987686293
24,2.15754872,4.484995886,2.327447166,0.006627204,162,945.0,1.073606974,0.9785141070000001
25,2.149506349,4.504160223,2.3546538740000003,0.005464684,198,99.0,1.082007423,0.9912266540000001
26,2.307854984,4.272221383,1.9643664,0.007205465,126,261.0,0.90788859,0.986433984
27,2.497960772,4.101948915,1.603988143,0.006795429,108,378.0,0.733906363,0.9773029129999999
28,2.386287007,5.823443782000001,3.437156774,0.008079755,162,513.0,1.308920332,0.959000253
29,2.783346162,4.207412736,1.424066574,0.004218776,144,666.0,0.6075036979999999,0.9848886170000001
30,1.824597095,3.4366774610000004,1.612080367,0.008674611,108,72.0,0.936857983,0.9886034570000001
31,1.8173955069999999,3.197411307,1.3800157990000002,0.00933599,90,171.0,0.8402390959999999,0.972130851
32,1.848499345,4.145144161,2.296644817,0.004358652,270,351.0,1.1768361059999999,0.9637226520000001
33,2.102421725,3.82432008,1.7218983559999999,0.004419617,198,585.0,0.8750841540000001,0.982717895
34,1.9041703630000002,5.022665094,3.118494731,0.006049678,234,261.0,1.415624651,0.97596819
35,2.860347157,5.036742366,2.1763952090000003,0.005777075,144,450.0,0.8318987840000001,0.9756412
36,2.956085425,4.8678173010000005,1.911731875,0.0050926190000000005,144,594.0,0.7333371320000001,0.970808308
37,2.8452000460000004,5.02965981,2.184459764,0.0051596409999999995,162,747.0,0.835861761,0.989743545
38,1.8683783,4.070511046,2.202132747,0.012868538,90,171.0,1.158168392,0.93463636
39,1.8154555940000001,3.42779502,1.612339426,0.00870797,108,270.0,0.940460715,0.991351216
40,1.764460195,3.362293186,1.59783299,0.010655425,90,369.0,0.958988295,0.9219086790000001
41,1.8327173330000002,3.9530476560000003,2.120330323,0.010531634,108,594.0,1.1374164690000002,0.946089574
42,2.29591159,4.597069188,2.301157599,0.006287805,162,837.0,1.0186243640000001,0.985119069
43,2.469101515,4.445667698,1.976566183,0.008057113000000001,108,972.0,0.8701681659999999,0.988104753
44,1.6786327030000001,3.9073974160000002,2.228764714,0.007651735,162,99.0,1.23958109,0.956896112
46,2.521142126,3.7994324589999997,1.278290333,0.011534238999999998,54,603.0,0.622848928,0.9895490920000001
47,1.821348769,3.9535582660000004,2.132209497,0.009068487,126,153.0,1.1426293920000001,0.983976665
48,1.9877333119999998,3.7320042,1.7442708880000002,0.010410383,90,261.0,0.936934435,0.98208106
49,1.984439738,3.425045095,1.440605357,0.009019373,90,351.0,0.811743537,0.958355865
50,1.59196122,3.7818811539999997,2.189919934,0.010124078,126,459.0,1.2756338459999998,0.948092025
51,1.797635246,4.225049333,2.427414087,0.009998928,126,585.0,1.259864977,0.966003543
52,2.0265346159999997,5.7196342079999996,3.693099592,0.006004445,252,774.0,1.513120066,0.984623866
53,1.758727236,3.603878578,1.8451513430000002,0.006497291999999999,162,99.0,1.0525613440000001,0.9714058870000001
54,1.771681188,3.385495821,1.613814633,0.005864709,162,909.0,0.9500828370000001,0.953826847
55,1.563763969,2.313598072,0.749834103,0.006473259,90,63.0,0.582593282,0.932956598
56,1.9243203290000002,4.140594522,2.2162741930000003,0.005660465999999999,198,441.0,1.120772213,0.96226901
